employment_status,monthly_income,monthly_expenses,goal_types,target_amount,target_duration,risk_tolerance,investment_experience,savings_investment,existing_loans,financial_discipline,strategy_name,strategy_description,risk_level,duration_year,return_rate
self-employed,>10000,<5000,"['Buying house', 'education', 'emergency fund']",484899,2,moderate,advanced,>10000,5000-10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,11.6%
self-employed,5000-10000,5000-10000,"['vacation', 'retirement', 'emergency fund']",298594,20,moderate,beginner,<5000,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.2%
retired,>10000,5000-10000,"['retirement', 'emergency fund', 'vacation']",331307,5,moderate,advanced,0,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,7.8%
employed,5000-10000,0,"['Buying house', 'retirement', 'emergency fund']",455642,3,low,beginner,0,>10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.2%
unemployed,0,5000-10000,"['retirement', 'education', 'emergency fund']",77953,2,high,intermediate,5000-10000,5000-10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,6.5%
student,5000-10000,<5000,"['education', 'vacation', 'emergency fund']",50557,9,high,intermediate,>10000,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,22.5%
employed,5000-10000,0,"['education', 'emergency fund', 'vacation']",378401,16,high,intermediate,>10000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.7%
self-employed,<5000,>10000,"['education', 'retirement', 'Buying house']",223022,18,moderate,beginner,5000-10000,0,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,8.0%
employed,>10000,5000-10000,"['vacation', 'education', 'emergency fund']",341342,13,low,beginner,0,5000-10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,5.1%
student,<5000,0,"['education', 'vacation', 'Buying house']",423915,10,moderate,beginner,>10000,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,17.7%
unemployed,<5000,5000-10000,"['education', 'vacation', 'emergency fund']",305430,14,high,intermediate,0,>10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.2%
unemployed,5000-10000,<5000,"['Buying house', 'vacation', 'retirement']",290942,17,low,intermediate,0,5000-10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.8%
unemployed,>10000,>10000,"['education', 'Buying house', 'retirement']",476797,4,low,beginner,0,5000-10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,5.1%
student,>10000,0,"['education', 'Buying house', 'retirement']",172517,1,low,intermediate,0,5000-10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,7,5.7%
student,<5000,>10000,"['Buying house', 'emergency fund', 'vacation']",469916,7,moderate,intermediate,>10000,<5000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.6%
unemployed,>10000,>10000,"['Buying house', 'retirement', 'vacation']",352072,10,moderate,beginner,>10000,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,5.2%
retired,>10000,>10000,"['education', 'vacation', 'emergency fund']",341473,19,low,intermediate,>10000,5000-10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,12.0%
unemployed,>10000,>10000,"['retirement', 'education', 'Buying house']",113754,19,moderate,beginner,0,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.9%
employed,5000-10000,0,"['emergency fund', 'education', 'Buying house']",282823,16,moderate,intermediate,0,0,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,7.5%
unemployed,5000-10000,0,"['emergency fund', 'education', 'vacation']",214696,2,moderate,advanced,0,5000-10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.1%
student,5000-10000,0,"['retirement', 'Buying house', 'education']",403278,15,moderate,advanced,<5000,5000-10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,10.5%
self-employed,0,>10000,"['vacation', 'emergency fund', 'retirement']",447373,3,moderate,beginner,0,0,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,7.3%
employed,>10000,<5000,"['Buying house', 'vacation', 'education']",477952,20,high,advanced,<5000,<5000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.6%
unemployed,<5000,>10000,"['Buying house', 'emergency fund', 'retirement']",436805,11,high,beginner,0,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,23.3%
employed,>10000,0,"['retirement', 'vacation', 'Buying house']",362416,11,high,intermediate,0,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,12.6%
retired,<5000,>10000,"['retirement', 'Buying house', 'vacation']",160448,20,low,beginner,>10000,0,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,10.4%
retired,5000-10000,>10000,"['retirement', 'emergency fund', 'education']",423612,3,moderate,advanced,>10000,5000-10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,4,4.0%
employed,<5000,0,"['education', 'retirement', 'vacation']",481933,8,high,intermediate,<5000,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,24.0%
self-employed,>10000,0,"['vacation', 'emergency fund', 'education']",55894,11,moderate,intermediate,0,<5000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,5.0%
employed,5000-10000,>10000,"['retirement', 'Buying house', 'education']",327372,19,high,beginner,<5000,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,5.9%
employed,5000-10000,<5000,"['vacation', 'Buying house', 'retirement']",482360,14,low,advanced,<5000,<5000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,13.7%
retired,5000-10000,<5000,"['emergency fund', 'Buying house', 'education']",35864,14,low,intermediate,5000-10000,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,7.7%
self-employed,>10000,5000-10000,"['Buying house', 'education', 'emergency fund']",152159,9,high,advanced,5000-10000,0,saver,Stable Income,Dividend-focused strategy for consistent income.,low,7,5.6%
self-employed,0,>10000,"['retirement', 'emergency fund', 'education']",264415,15,low,beginner,0,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.6%
student,5000-10000,>10000,"['retirement', 'education', 'Buying house']",315640,5,moderate,advanced,5000-10000,0,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,7.8%
retired,>10000,5000-10000,"['Buying house', 'education', 'emergency fund']",262276,20,moderate,advanced,>10000,0,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,18.4%
self-employed,0,0,"['vacation', 'education', 'retirement']",175788,8,moderate,intermediate,>10000,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.0%
unemployed,0,<5000,"['emergency fund', 'retirement', 'education']",381722,20,moderate,intermediate,0,5000-10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,13.4%
student,>10000,<5000,"['retirement', 'vacation', 'education']",310928,12,high,intermediate,5000-10000,>10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.4%
self-employed,0,<5000,"['emergency fund', 'Buying house', 'education']",161841,4,moderate,advanced,<5000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.8%
self-employed,5000-10000,<5000,"['emergency fund', 'retirement', 'education']",248695,2,low,intermediate,0,>10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.0%
self-employed,>10000,5000-10000,"['Buying house', 'retirement', 'vacation']",258799,13,moderate,advanced,0,5000-10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,7.8%
student,>10000,<5000,"['emergency fund', 'Buying house', 'education']",144316,18,moderate,beginner,<5000,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,23.0%
retired,>10000,>10000,"['education', 'retirement', 'vacation']",363692,1,high,intermediate,0,0,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,11.9%
self-employed,0,<5000,"['education', 'emergency fund', 'retirement']",229354,18,low,advanced,<5000,0,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,14.4%
employed,5000-10000,0,"['Buying house', 'retirement', 'vacation']",148282,20,low,beginner,0,0,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,5.0%
employed,>10000,<5000,"['vacation', 'retirement', 'Buying house']",308569,12,low,intermediate,<5000,5000-10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.7%
retired,5000-10000,>10000,"['emergency fund', 'vacation', 'Buying house']",320249,19,high,beginner,5000-10000,5000-10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.1%
employed,5000-10000,>10000,"['Buying house', 'education', 'vacation']",65569,20,high,beginner,5000-10000,0,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,7.2%
unemployed,>10000,<5000,"['emergency fund', 'education', 'retirement']",315542,17,moderate,advanced,0,5000-10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.4%
student,>10000,5000-10000,"['retirement', 'Buying house', 'emergency fund']",232835,4,high,intermediate,0,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.1%
employed,<5000,<5000,"['education', 'Buying house', 'emergency fund']",314824,19,low,advanced,0,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,21.3%
student,<5000,>10000,"['emergency fund', 'education', 'vacation']",254424,8,moderate,intermediate,>10000,0,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,10.5%
unemployed,0,5000-10000,"['vacation', 'emergency fund', 'retirement']",342660,19,moderate,intermediate,>10000,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,6.0%
self-employed,<5000,0,"['emergency fund', 'education', 'retirement']",335954,4,high,intermediate,>10000,<5000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,10.9%
unemployed,5000-10000,<5000,"['Buying house', 'emergency fund', 'retirement']",216244,16,low,beginner,>10000,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.7%
student,>10000,5000-10000,"['education', 'vacation', 'retirement']",333573,10,moderate,beginner,>10000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,5.3%
retired,<5000,5000-10000,"['vacation', 'Buying house', 'emergency fund']",440404,11,high,intermediate,0,0,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,12.7%
student,0,5000-10000,"['Buying house', 'education', 'emergency fund']",249786,6,low,beginner,>10000,<5000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,18.9%
retired,>10000,0,"['vacation', 'Buying house', 'education']",252581,17,low,advanced,0,<5000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,11.8%
self-employed,>10000,5000-10000,"['Buying house', 'vacation', 'emergency fund']",37636,20,high,advanced,<5000,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,5.6%
self-employed,0,0,"['vacation', 'education', 'emergency fund']",267842,3,low,beginner,>10000,0,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,10.7%
retired,<5000,5000-10000,"['vacation', 'emergency fund', 'retirement']",485714,18,moderate,intermediate,>10000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.5%
unemployed,0,0,"['Buying house', 'retirement', 'emergency fund']",360232,20,low,intermediate,<5000,5000-10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,4,5.7%
self-employed,0,5000-10000,"['emergency fund', 'Buying house', 'vacation']",63978,11,low,advanced,>10000,>10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.8%
unemployed,>10000,5000-10000,"['retirement', 'vacation', 'Buying house']",364586,11,low,advanced,0,0,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,14.8%
retired,<5000,5000-10000,"['education', 'retirement', 'Buying house']",472511,12,high,intermediate,>10000,<5000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.9%
employed,5000-10000,<5000,"['vacation', 'emergency fund', 'Buying house']",497941,3,moderate,intermediate,<5000,>10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.0%
self-employed,5000-10000,5000-10000,"['retirement', 'emergency fund', 'vacation']",410230,3,high,advanced,<5000,0,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,20.8%
retired,>10000,<5000,"['retirement', 'emergency fund', 'vacation']",222794,5,low,intermediate,<5000,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,6.9%
student,<5000,0,"['vacation', 'retirement', 'Buying house']",304931,5,low,advanced,0,>10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,7,5.7%
unemployed,5000-10000,5000-10000,"['Buying house', 'vacation', 'emergency fund']",332774,8,moderate,beginner,>10000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,6.9%
self-employed,>10000,>10000,"['retirement', 'education', 'Buying house']",64168,10,high,intermediate,0,5000-10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,12.3%
